"campus","sample_type","sample_subtype","classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019"
"UCSC","FISH","FISH","PHOL","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Pholidae","spp","Pholidae","WoRMS","273886","Gunnels",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PLEU","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectidae","spp","Pleuronectidae","WoRMS","281679","Righteyed Flounders",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PLEU","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectidae","spp","Pleuronectidae","WoRMS","217628","Righteyed Flounders",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PMAC","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus","WoRMS","281685","Spotted Sandbass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PMAC","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus","WoRMS","281685","Spotted Sandbass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PNEB","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","nebulifer","Paralabrax nebulifer","WoRMS","281687","Barred Sandbass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PNEB","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","nebulifer","Paralabrax nebulifer","WoRMS","281687","Barred Sandbass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PNOT","Animalia","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys","notatus","Porichthys notatus","WoRMS","240727","Plainfin Midshipman",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PNOT","Animalia","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys","notatus","Porichthys notatus","WoRMS","240727","Plainfin Midshipman",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PPRO","Animalia","Chordata","Elasmobranchii","Rajiformes","Rhinobatidae","Pseudobatos","productus","Pseudobatos productus","WoRMS","240745","Shovelnose Guitarfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PTRI","Animalia","Chordata","Elasmobranchii","Rajiformes","Rhinobatidae","Platyrhinoidis","triseriata","Platyrhinoidis triseriata","WoRMS","240745","Thornback",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PTRI","Animalia","Chordata","Elasmobranchii","Rajiformes","Rhinobatidae","Platyrhinoidis","triseriata","Platyrhinoidis triseriata","WoRMS","240743","Thornback",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RALL","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella","alleni","Rathbunella alleni","WoRMS","240743","Stripefin Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RALL","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella","alleni","Rathbunella alleni","WoRMS","281935","Stripefin Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RBIN","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","binoculata","Raja binoculata","WoRMS","281935","Big Skate",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RBIN","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","binoculata","Raja binoculata","WoRMS","274852/274795/274817","Big Skate",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RHYP","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella","hypoplecta","Rathbunella hypoplecta","WoRMS","274852/274795/274817","Smooth Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RHYP","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella","hypoplecta","Rathbunella hypoplecta","WoRMS","274852/274795","Smooth Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RJOR","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Ronquilus","jordani","Ronquilus jordani","WoRMS","274852/274795","Northern Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RJOR","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Ronquilus","jordani","Ronquilus jordani","WoRMS","279409","Northern Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RNIC","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops","nicholsii","Rhinogobiops nicholsii","WoRMS","279409","Blackeye Goby","Cryptic, not sampled effectiively. This species was counted on quadrats at southern California sites",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","RNIC","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops","nicholsii","Rhinogobiops nicholsii","WoRMS","275809","Blackeye Goby","This species was counted on quadrats at southern California sites",">9cm to be counted","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RRIC","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Rhamphocottidae","Rhamphocottus","richardsonii","Rhamphocottus richardsonii","WoRMS","275809","Grunt Sculpin",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RSTE","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","stellulata","Raja stellulata","WoRMS","282054","Starry Skate",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RSTE","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","stellulata","Raja stellulata","WoRMS","282054","Starry Skate",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RTOX","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","toxotes","Rhacochilus toxotes","WoRMS","282290","Rubberlip Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RTOX","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","toxotes","Rhacochilus toxotes","WoRMS","282290","Rubberlip Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RVAC","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","vacca","Rhacochilus vacca","WoRMS","273374","Pile Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RVAC","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","vacca","Rhacochilus vacca","WoRMS","273374","Pile Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SACA","Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","acanthias","Squalus acanthias","WoRMS","240730","Spiny Dogfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SACA","Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","acanthias","Squalus acanthias","WoRMS","240730","Spiny Dogfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SARG","Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena","argentea","Sphyraena argentea","WoRMS","105801","California Barracuda",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SARG","Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena","argentea","Sphyraena argentea","WoRMS","105801","California Barracuda",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SATR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","atrovirens","Sebastes atrovirens","WoRMS","125550","Kelp Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SATR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","atrovirens","Sebastes atrovirens","WoRMS","125550","Kelp Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SAUR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","auriculatus","Sebastes auriculatus","WoRMS","125579","Brown Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SAUR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","auriculatus","Sebastes auriculatus","WoRMS","125579","Brown Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SCAL","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","californica","Squatina californica","WoRMS","282058","Pacific Angel Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SCAR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","carnatus","Sebastes carnatus","WoRMS","282058","Gopher Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SCAR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","carnatus","Sebastes carnatus","WoRMS","282059","Gopher Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SCARSCAU","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","carnatus, caurinus","Sebastes carnatus/caurinus","WoRMS","282059","Gopher, Copper Rockfish Young Of Year",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SCAU","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","caurinus","Sebastes caurinus","WoRMS","275658","Copper Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SCAU","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","caurinus","Sebastes caurinus","WoRMS","275658","Copper Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SCHI","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Sarda","chiliensis chiliensis","Sarda chiliensis chiliensis","WoRMS","1043469","Eastern Pacific Bonito",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SCHI","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Sarda","chiliensis chiliensis","Sarda chiliensis chiliensis","WoRMS","282280","Eastern Pacific Bonito",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SCHR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","chrysomelas","Sebastes chrysomelas","WoRMS","282280","Black And Yellow Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SCHR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","chrysomelas","Sebastes chrysomelas","WoRMS","282555","Black And Yellow Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SDAL","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","dallii","Sebastes dallii","WoRMS","282555","Calico Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SDAL","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","dallii","Sebastes dallii","WoRMS","271572","Calico Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SDIP","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","diploproa","Sebastes diploproa","WoRMS","271572","Spitnose Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SDIP","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","diploproa","Sebastes diploproa","WoRMS","282556","Spitnose Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SEBSPP","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","spp","Sebastes","WoRMS","282556","Rockfish, Unidentified Sp.",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SEBSPP","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","spp","Sebastes","WoRMS","282629","Rockfish, Unidentified Sp.",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SENT","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","entomelas","Sebastes entomelas","WoRMS","282629","Widow Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SENT","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","entomelas","Sebastes entomelas","WoRMS","282580","Widow Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SGIG","Animalia","Chordata","Actinopterygii","Perciformes","Polyprionidae","Stereolepis","gigas","Stereolepis gigas","WoRMS","282580","Giant Sea Bass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SGIG","Animalia","Chordata","Actinopterygii","Perciformes","Polyprionidae","Stereolepis","gigas","Stereolepis gigas","WoRMS","282578","Giant Sea Bass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SGUT","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena","guttata","Scorpaena guttata","WoRMS","271583","California Scorpionfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SGUT","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena","guttata","Scorpaena guttata","WoRMS","271583","California Scorpionfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SHOP","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","hopkinsi","Sebastes hopkinsi","WoRMS","282575","Squarespot Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SHOP","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","hopkinsi","Sebastes hopkinsi","WoRMS","282575","Squarespot Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SJAP","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber","japonicus","Scomber japonicus","WoRMS","282576","Pacific Mackerel, Greenback Mackerel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SJAP","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber","japonicus","Scomber japonicus","WoRMS","282576","Pacific Mackerel, Greenback Mackerel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SLAL","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Seriola","lalandi","Seriola lalandi","WoRMS","105923","Yellowtail",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SLUC","Animalia","Chordata","Actinopterygii","Aulopiformes","Synodontidae","Synodus","lucioceps","Synodus lucioceps","WoRMS","105923","California Lizardfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SMAL","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","maliger","Sebastes maliger","WoRMS","273978","Quillback Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SMAR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","marmoratus","Scorpaenichthys marmoratus","WoRMS","273978","Cabezon",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SMAR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","marmoratus","Scorpaenichthys marmoratus","WoRMS","274772","Cabezon",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SMEL","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","melanops","Sebastes melanops","WoRMS","274772","Black Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SMEL","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","melanops","Sebastes melanops","WoRMS","274773","Black Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SMIN","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","miniatus","Sebastes miniatus","WoRMS","274773","Vermilion Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SMIN","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","miniatus","Sebastes miniatus","WoRMS","271667","Vermilion Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SMYS","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","mystinus","Sebastes mystinus","WoRMS","274779","Blue Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SMYS","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","mystinus","Sebastes mystinus","WoRMS","274779","Blue Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SNEB","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","nebulosus","Sebastes nebulosus","WoRMS","274779/274780","China Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SNEB","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","nebulosus","Sebastes nebulosus","WoRMS","274780","China Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SPAU","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","paucispinis","Sebastes paucispinis","WoRMS","274780","Bocaccio",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SPAU","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","paucispinis","Sebastes paucispinis","WoRMS","273810","Bocaccio",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SPIN","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","pinniger","Sebastes pinniger","WoRMS","273810","Canary Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SPIN","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","pinniger","Sebastes pinniger","WoRMS","240737","Canary Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SPUL","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Semicossyphus","pulcher","Semicossyphus pulcher","WoRMS","240737","California Sheephead",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","SPUL","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Semicossyphus","pulcher","Semicossyphus pulcher","WoRMS","274786","California Sheephead",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","SRAS","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rastrelliger","Sebastes rastrelliger","WoRMS","274786","Grass Rockfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
